date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15.00 ,16.00 ,17,18,19,20,21,22,23,24,25,OT
2014/5/21,6.23 ,2135.91 ,2112.21 ,2214.68 ,1962.22 ,5.12 ,4.10 ,110.55 ,103.70 ,74.95 ,518.20 ,4.49 ,101.24 ,0.04 ,83.43 ,28.00 ,19.00 ,226.00 ,22.00 ,3.00 ,21.00 ,21.00 ,5.00 ,2014.00 ,227.00 ,49062.00 ,23.83 
2014/5/22,6.24 ,2130.87 ,2111.95 ,2204.08 ,1963.75 ,5.16 ,4.30 ,110.36 ,104.20 ,75.10 ,520.20 ,4.44 ,90.94 ,0.04 ,83.43 ,29.00 ,21.00 ,97.00 ,23.00 ,4.00 ,22.00 ,21.00 ,5.00 ,2014.00 ,260.00 ,39071.00 ,24.17 
2014/5/23,6.24 ,2148.41 ,2130.28 ,2207.47 ,1985.72 ,5.12 ,4.40 ,110.54 ,104.10 ,75.00 ,516.60 ,4.39 ,96.69 ,0.04 ,83.43 ,29.00 ,22.00 ,71.00 ,27.00 ,5.00 ,23.00 ,21.00 ,5.00 ,2014.00 ,209.00 ,43977.00 ,23.93 
2014/5/26,6.24 ,2155.98 ,2154.60 ,2207.24 ,1986.10 ,5.09 ,4.60 ,110.32 ,103.79 ,74.80 ,518.60 ,4.45 ,142.37 ,0.04 ,83.43 ,30.00 ,20.00 ,285.00 ,28.00 ,1.00 ,26.00 ,22.00 ,5.00 ,2014.00 ,279.00 ,53045.00 ,24.10 
2014/5/27,6.25 ,2147.28 ,2144.64 ,2193.96 ,1980.89 ,5.17 ,4.65 ,110.02 ,104.09 ,74.80 ,516.40 ,4.50 ,182.32 ,0.04 ,83.43 ,31.00 ,20.00 ,135.00 ,29.00 ,2.00 ,27.00 ,22.00 ,5.00 ,2014.00 ,278.00 ,42235.00 ,23.88 
2014/5/28,6.26 ,2169.35 ,2165.67 ,2213.06 ,2002.86 ,5.20 ,5.20 ,109.81 ,104.03 ,74.80 ,517.60 ,4.61 ,100.32 ,0.04 ,83.43 ,32.00 ,21.00 ,125.00 ,30.00 ,3.00 ,28.00 ,22.00 ,5.00 ,2014.00 ,305.00 ,39347.00 ,23.94 
2014/5/29,6.24 ,2155.16 ,2141.87 ,2198.24 ,1990.13 ,5.20 ,5.15 ,109.97 ,103.83 ,74.80 ,515.60 ,4.59 ,101.08 ,0.04 ,83.43 ,32.00 ,22.00 ,149.00 ,33.00 ,4.00 ,29.00 ,22.00 ,5.00 ,2014.00 ,251.00 ,49285.00 ,24.23 
2014/5/30,6.25 ,2156.46 ,2144.08 ,2197.44 ,1987.73 ,5.05 ,5.00 ,109.41 ,103.68 ,74.75 ,510.60 ,4.56 ,119.36 ,0.04 ,83.43 ,30.00 ,24.00 ,108.00 ,34.00 ,5.00 ,30.00 ,22.00 ,5.00 ,2014.00 ,265.00 ,42430.00 ,23.90 
2014/6/3,6.25 ,2149.92 ,2138.98 ,2211.84 ,1983.01 ,5.43 ,5.00 ,108.82 ,104.12 ,74.15 ,511.40 ,4.58 ,94.45 ,0.04 ,98.77 ,29.00 ,19.00 ,79.00 ,35.00 ,2.00 ,3.00 ,23.00 ,6.00 ,2014.00 ,284.00 ,38890.00 ,23.93 
2014/6/4,6.25 ,2128.27 ,2122.26 ,2204.16 ,1962.46 ,5.39 ,5.00 ,108.40 ,105.94 ,73.90 ,511.80 ,4.61 ,82.42 ,0.04 ,98.77 ,29.00 ,20.00 ,124.00 ,36.00 ,3.00 ,4.00 ,23.00 ,6.00 ,2014.00 ,329.00 ,40311.00 ,24.00 
2014/6/5,6.25 ,2150.60 ,2146.14 ,2223.51 ,1986.94 ,5.54 ,5.05 ,108.79 ,105.71 ,72.95 ,512.20 ,4.60 ,147.19 ,0.04 ,98.77 ,30.00 ,21.00 ,152.00 ,37.00 ,4.00 ,5.00 ,23.00 ,6.00 ,2014.00 ,291.00 ,37699.00 ,23.88 
2014/6/6,6.25 ,2134.72 ,2140.30 ,2204.73 ,1972.20 ,5.44 ,4.92 ,108.61 ,106.62 ,72.75 ,513.40 ,4.72 ,134.09 ,0.04 ,98.77 ,31.00 ,22.00 ,176.00 ,40.00 ,5.00 ,6.00 ,23.00 ,6.00 ,2014.00 ,284.00 ,46743.00 ,23.81 
2014/6/9,6.24 ,2134.28 ,2131.13 ,2191.82 ,1976.78 ,5.53 ,4.90 ,109.99 ,105.61 ,72.75 ,510.40 ,4.63 ,272.71 ,0.04 ,98.77 ,33.00 ,22.00 ,200.00 ,41.00 ,1.00 ,9.00 ,24.00 ,6.00 ,2014.00 ,266.00 ,40005.00 ,23.83 
2014/6/10,6.23 ,2161.27 ,2157.50 ,2219.25 ,2003.92 ,5.49 ,4.90 ,109.52 ,106.19 ,72.70 ,507.80 ,4.54 ,93.90 ,0.04 ,98.77 ,33.00 ,22.00 ,150.00 ,42.00 ,2.00 ,10.00 ,24.00 ,6.00 ,2014.00 ,352.00 ,51044.00 ,23.59 
2014/6/11,6.23 ,2160.77 ,2171.19 ,2218.76 ,1995.90 ,5.36 ,4.90 ,109.95 ,106.13 ,72.60 ,505.80 ,4.53 ,100.28 ,0.04 ,98.77 ,33.00 ,22.00 ,155.00 ,43.00 ,3.00 ,11.00 ,24.00 ,6.00 ,2014.00 ,402.00 ,69436.00 ,23.68 
2014/6/12,6.22 ,2153.41 ,2170.80 ,2212.82 ,1988.70 ,5.55 ,4.70 ,113.02 ,107.10 ,72.60 ,503.20 ,4.75 ,99.70 ,0.04 ,98.77 ,33.00 ,22.00 ,268.00 ,44.00 ,4.00 ,12.00 ,24.00 ,6.00 ,2014.00 ,299.00 ,42191.00 ,23.47 
2014/6/13,6.21 ,2176.24 ,2194.38 ,2232.04 ,2016.64 ,5.66 ,4.70 ,113.41 ,109.57 ,72.90 ,504.00 ,4.75 ,116.80 ,0.04 ,98.77 ,31.00 ,21.00 ,207.00 ,47.00 ,5.00 ,13.00 ,24.00 ,6.00 ,2014.00 ,240.00 ,42435.00 ,22.24 
2014/6/16,6.23 ,2191.86 ,2214.68 ,2257.20 ,2033.92 ,5.63 ,4.70 ,112.94 ,108.57 ,73.05 ,503.20 ,4.75 ,161.72 ,0.04 ,98.77 ,26.00 ,21.00 ,90.00 ,48.00 ,1.00 ,16.00 ,25.00 ,6.00 ,2014.00 ,280.00 ,42312.00 ,23.32 
2014/6/17,6.23 ,2169.67 ,2194.72 ,2236.66 ,2014.44 ,5.70 ,4.10 ,113.45 ,107.69 ,72.80 ,503.80 ,4.68 ,92.70 ,0.04 ,98.77 ,29.00 ,22.00 ,97.00 ,49.00 ,2.00 ,17.00 ,25.00 ,6.00 ,2014.00 ,261.00 ,55305.00 ,22.85 
2014/6/18,6.23 ,2160.24 ,2178.54 ,2227.55 ,2003.26 ,5.65 ,4.20 ,114.26 ,108.86 ,72.55 ,504.00 ,4.75 ,104.50 ,0.04 ,98.77 ,32.00 ,23.00 ,146.00 ,50.00 ,3.00 ,18.00 ,25.00 ,6.00 ,2014.00 ,248.00 ,43208.00 ,22.84 
2014/6/19,6.23 ,2126.91 ,2127.36 ,2175.63 ,1975.83 ,5.54 ,4.20 ,115.06 ,109.13 ,72.65 ,500.00 ,4.63 ,129.36 ,0.04 ,98.77 ,33.00 ,23.00 ,110.00 ,51.00 ,4.00 ,19.00 ,25.00 ,6.00 ,2014.00 ,265.00 ,49128.00 ,22.96 
2014/6/20,6.23 ,2136.73 ,2147.04 ,2192.05 ,1989.69 ,5.65 ,4.20 ,114.81 ,109.39 ,72.50 ,497.20 ,4.55 ,101.74 ,0.04 ,98.77 ,31.00 ,24.00 ,139.00 ,54.00 ,5.00 ,20.00 ,25.00 ,6.00 ,2014.00 ,278.00 ,35251.00 ,22.92 
2014/6/23,6.23 ,2134.11 ,2160.78 ,2206.12 ,1981.61 ,5.79 ,4.15 ,114.12 ,109.57 ,72.40 ,496.80 ,4.47 ,94.34 ,0.04 ,98.77 ,29.00 ,22.00 ,88.00 ,55.00 ,1.00 ,23.00 ,26.00 ,6.00 ,2014.00 ,255.00 ,52329.00 ,22.91 
2014/6/24,6.23 ,2144.82 ,2177.20 ,2218.41 ,1988.98 ,5.74 ,4.15 ,114.46 ,107.73 ,72.25 ,495.40 ,4.49 ,123.15 ,0.04 ,98.77 ,27.00 ,22.00 ,75.00 ,56.00 ,2.00 ,24.00 ,26.00 ,6.00 ,2014.00 ,303.00 ,37453.00 ,22.87 
2014/6/25,6.23 ,2133.37 ,2165.74 ,2226.06 ,1980.60 ,5.71 ,4.20 ,114.00 ,107.64 ,72.40 ,495.40 ,4.55 ,96.58 ,0.04 ,98.77 ,25.00 ,21.00 ,54.00 ,57.00 ,3.00 ,25.00 ,26.00 ,6.00 ,2014.00 ,265.00 ,41431.00 ,22.91 
2014/6/26,6.23 ,2149.08 ,2194.55 ,2235.81 ,1995.06 ,5.70 ,4.20 ,113.21 ,107.39 ,72.35 ,495.20 ,4.42 ,121.61 ,0.04 ,98.77 ,24.00 ,20.00 ,48.00 ,58.00 ,4.00 ,26.00 ,26.00 ,6.00 ,2014.00 ,271.00 ,50022.00 ,22.68 
2014/6/27,6.22 ,2150.26 ,2214.58 ,2236.90 ,1992.24 ,5.76 ,4.20 ,113.30 ,106.90 ,72.35 ,500.40 ,4.44 ,105.89 ,0.04 ,98.77 ,29.00 ,22.00 ,51.00 ,61.00 ,5.00 ,27.00 ,26.00 ,6.00 ,2014.00 ,301.00 ,42155.00 ,22.63 
2014/6/30,6.21 ,2165.12 ,2243.28 ,2243.24 ,2004.31 ,5.81 ,4.20 ,112.36 ,105.98 ,73.62 ,500.00 ,4.44 ,99.67 ,0.04 ,98.77 ,27.00 ,22.00 ,103.00 ,62.00 ,1.00 ,30.00 ,27.00 ,6.00 ,2014.00 ,361.00 ,62454.00 ,22.68 
2014/7/1,6.20 ,2164.56 ,2252.19 ,2244.43 ,2003.28 ,6.01 ,4.20 ,112.29 ,106.01 ,73.75 ,497.20 ,4.45 ,120.64 ,0.01 ,138.75 ,28.00 ,23.00 ,88.00 ,63.00 ,2.00 ,1.00 ,27.00 ,7.00 ,2014.00 ,382.00 ,33999.00 ,22.83 
2014/7/2,6.21 ,2170.87 ,2272.48 ,2254.35 ,2011.93 ,6.07 ,4.20 ,111.24 ,105.48 ,73.48 ,497.40 ,4.42 ,101.37 ,0.01 ,138.75 ,29.00 ,22.00 ,67.00 ,64.00 ,3.00 ,2.00 ,27.00 ,7.00 ,2014.00 ,475.00 ,52073.00 ,22.94 
